id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28932898,Grand appartement d'artiste cosy et proche de tout,46161928,Fabienne,,Saint-Gilles,50.82771,4.33767,Entire home/apt,67,1,90,2019-10-13,2.69,1,165
28934442,Lumière sur nous.,99591188,Thais E Paulo,,Ixelles,50.81833,4.35827,Private room,33,1,79,2019-11-19,2.47,1,254
28935389,J&B beautiful apartment in European Quarter of BXL,216870217,Jean & Bruna,,Bruxelles,50.84621,4.38746,Entire home/apt,78,2,84,2020-02-25,2.51,1,9
28955761,EU central Brussels room short term internships,9221454,David,,Bruxelles,50.85021,4.38622,Private room,31,7,72,2019-11-25,2.15,3,108
28971373,Pied à terre 2 chambres centre quartier européen,24444714,Cedric,,Ixelles,50.83238,4.37562,Entire home/apt,53,3,2,2019-11-24,0.11,37,365
28980894,Be.Cosy,218434041,Isabelle,,Watermael-Boitsfort,50.80448,4.40577,Entire home/apt,48,7,4,2020-02-02,0.16,1,201
28998246,Luxury Brussels Design Loft with a view .,6435844,,,Jette,50.86632,4.33253,Entire home/apt,99,2,1,2018-10-19,0.03,1,358
29001098,Only female guests - Private room in unique loft,218411021,Catherine,,Bruxelles,50.84834,4.34479,Private room,50,5,3,2019-12-09,0.09,1,178
29002865,The White Loft,218594457,Mathieu,,Bruxelles,50.85034,4.34899,Entire home/apt,77,6,106,2020-03-09,3.40,1,66
29010844,"Bright, cosy & unique duplex apartment",9015739,Bert,,Molenbeek-Saint-Jean,50.85666,4.33297,Entire home/apt,70,2,7,2019-12-08,0.28,1,79
29025072,Marvelous Apartment for longer terms,871030,ApartmentsApart,,Bruxelles,50.85042,4.35177,Entire home/apt,220,3,22,2019-03-18,0.67,32,365
29028694,Une chambre à louer...,189378749,Marie,,Forest,50.81828,4.35141,Private room,35,2,30,2020-03-10,0.89,1,134
29035118,A deux pas de la gare et du centre !,35079265,Julien,,Forest,50.82697,4.33491,Entire home/apt,45,2,14,2020-08-23,0.43,1,34
29045172,Beau appartement,83014949,Kary,,Molenbeek-Saint-Jean,50.85535,4.30625,Private room,39,3,0,,,1,365
29048270,Cozy Top Spot right in a Centrum!,871030,ApartmentsApart,,Bruxelles,50.84841,4.35068,Entire home/apt,91,1,7,2021-02-20,0.23,32,358
29049445,Amazing 2br apartment - EU area,19293722,Pauline Et Elliot,,Etterbeek,50.83708,4.40491,Entire home/apt,72,5,26,2019-06-01,0.85,61,89
29052325,nid charmant dans un jardin intérieur à Ixelles,24444714,Cedric,,Ixelles,50.83445,4.37168,Entire home/apt,67,3,0,,,37,364
29053367,Ajo,161034682,Ajox,,Ixelles,50.82691,4.36013,Shared room,15,1,3,2019-12-22,0.09,1,365
29054526,TOUR & TAXIS 5 + FREE PARKING,2126739,Rocío & Ward,,Molenbeek-Saint-Jean,50.86136,4.34474,Entire home/apt,60,5,68,2020-01-08,2.04,5,0
29093162,Magnola House -  two quiet green bedrooms.,37431273,Martine,,Ixelles,50.82778,4.3663,Private room,110,2,48,2020-02-22,1.65,2,168
29096810,80 m2 dans le Bruxelles Chic et Calme,41649610,Juliana,,Woluwe-Saint-Lambert,50.84445,4.40871,Private room,90,2,7,2018-11-11,0.41,1,4
29124644,Cosy room in Ixelles,4962591,Andrea,,Ixelles,50.82922,4.37938,Private room,60,2,0,,,2,88
29126894,TOUR DE CONTRÔLE BXL,145790764,Claude Honoré,,Bruxelles,50.84726,4.34836,Private room,65,1,16,2019-02-18,0.49,1,180
29145112,"View on the historic Bourse, no cleaning fee!",44583744,Vera,,Bruxelles,50.84889,4.34846,Entire home/apt,95,1,3,2019-12-08,0.10,1,0
29150544,Nice apartment with beautiful view,44004107,Adrien,,Forest,50.8184,4.33958,Entire home/apt,50,5,33,2019-06-15,1.02,1,30
29150696,Amazing loft 2 steps from Place Flagey,189315430,Daphné,,Ixelles,50.82757,4.37686,Entire home/apt,104,90,1,2019-12-20,0.05,27,343
29169531,Home in Ixelles,4962591,Andrea,,Ixelles,50.82738,4.37788,Entire home/apt,80,2,2,2020-10-04,1.00,2,178
29170364,Chambre(s) dans une maison grand confort,49191886,Frederic,,Uccle,50.78175,4.36253,Private room,95,1,7,2019-09-14,0.27,2,152
29200638,Avenue Louise/Cambre Bel appartement de 80m2,28364593,Patrice,,Bruxelles,50.81549,4.37522,Entire home/apt,59,6,14,2018-12-30,0.43,1,104
29231004,Sunny rooftop,13238864,Vanessa,,Saint-Gilles,50.83475,4.33763,Private room,45,2,97,2020-02-29,2.95,1,0
29234840,Lovely & Cosy - Saint Gilles,3668382,Edouard,,Saint-Gilles,50.82601,4.34983,Entire home/apt,58,7,1,2021-02-21,0.21,5,259
29245168,"Cosy Spacious House, 3 bedrooms, 2 bathrooms",29268963,Christophe,,Woluwe-Saint-Lambert,50.84969,4.41509,Entire home/apt,93,3,10,2019-09-27,0.31,4,80
29272541,Pied-A-Terre of the King's Garden,1561483,Diego,,Ixelles,50.82226,4.37245,Entire home/apt,105,4,16,2021-05-29,0.54,2,76
29273166,Maison Contemporaine au calme dans la verdure,49191886,Frederic,,Uccle,50.78185,4.36247,Entire home/apt,156,4,27,2019-07-31,0.82,2,37
29278268,Cozy and stylish 1 bedroom Bel-étage apartment,220575917,Paul,,Bruxelles,50.84514,4.39182,Entire home/apt,98,2,45,2019-04-21,1.39,1,360
29280149,"Cozy, en-suite on quiet courtyard in hip St Gilles",3527804,Alissa,,Saint-Gilles,50.82452,4.34751,Private room,38,2,4,2020-01-31,0.12,2,23
29296872,Elegant 1-bedroom for long term,871030,ApartmentsApart,,Bruxelles,50.85032,4.35219,Entire home/apt,80,1,14,2019-11-17,0.46,32,361
